id,symbol,name,image,currentPrice,marketCap,marketCapRank,fullyDilutedValuation,totalVolume,priceChangePercentage24h,marketCapChange24h,marketCapChangePercentage24h,circulatingSupply,totalSupply,maxSupply,ath,athChangePercentage,athDate,atl,atlChangePercentage,atlDate,roi,lastUpdated,roi/times,roi/currency,roi/percentage
rocket-pool-eth,reth,Rocket Pool ETH,https://assets.coingecko.com/coins/images/20764/large/reth.png?1696520159,2524.64,1420190998,59,1420190998,4824312,4.95406,70102724,5.19245,562157.139322025,562157.139322025,,4814.31,-47.58345,2021-12-01T08:03:50.749Z,887.26,184.4133,2022-06-18T20:55:45.957Z,,2024-01-09T03:55:40.591Z,,,
sats-ordinals,sats,SATS (Ordinals),https://assets.coingecko.com/coins/images/30666/large/_dD8qr3M_400x400.png?1702913020,0.000000645356,1357061580,60,1357061580,60775135,11.11074,140911681,11.5867,2100000000000000,2100000000000000,2100000000000000,0.000000922983,-30.25199,2023-12-15T11:45:07.985Z,0.000000003189,20086.29749,2023-07-08T13:03:18.882Z,,2024-01-09T03:55:28.388Z,,,
mina-protocol,mina,Mina Protocol,https://assets.coingecko.com/coins/images/15628/large/JM4_vQ34_400x400.png?1696515261,1.18,1214791610,61,1310714702,85536462,20.95614,210442932,20.95317,1031137967.84004,1112559292.84004,,9.09,-87.06504,2021-06-01T01:42:37.064Z,0.351341,234.66962,2023-10-11T04:00:22.740Z,,2024-01-09T03:55:31.830Z,,,
osmosis,osmo,Osmosis,https://assets.coingecko.com/coins/images/16724/large/osmo.png?1696516298,1.89,1198927873,62,1892845871,45856258,10.88238,119393239,11.0597,633386517,999979298,1000000000,11.25,-83.23051,2022-03-04T05:12:18.707Z,0.224523,740.18696,2023-10-19T17:45:36.695Z,,2024-01-09T03:56:14.567Z,,,
flow,flow,Flow,https://assets.coingecko.com/coins/images/13446/large/5f6294c0c7a8cda55cb1c936_Flow_Wordmark.png?1696513210,0.801235,1186875487,63,1186875487,66600213,11.57536,126152107,11.89303,1480895188,1480895187.87914,1480895187.87914,42.4,-98.11196,2021-04-05T13:49:10.098Z,0.391969,104.2196,2023-09-11T19:41:06.528Z,,2024-01-09T03:55:59.977Z,,,
fantom,ftm,Fantom,https://assets.coingecko.com/coins/images/4001/large/Fantom_round.png?1696504642,0.394745,1106091699,64,1252602907,107899317,10.16335,102968164,10.26475,2803634835.52659,3175000000,3175000000,3.46,-88.58609,2021-10-28T05:19:39.845Z,0.00190227,20651.96866,2020-03-13T02:25:38.280Z,,2024-01-09T03:55:53.842Z,12.15816699090163,usd,1215.816699090163
havven,snx,Synthetix Network,https://assets.coingecko.com/coins/images/3406/large/SNX.png?1696504103,3.31,1085329629,65,1086733299,59916244,5.51679,56058535,5.44643,327769196.13952357,328193104.088774,328193104.088774,28.53,-88.40404,2021-02-14T01:12:38.505Z,0.0347864,9411.16968,2019-01-06T00:00:00.000Z,,2024-01-09T03:55:55.553Z,5.625041061157714,usd,562.5041061157714
theta-token,theta,Theta Network,https://assets.coingecko.com/coins/images/2538/large/theta-token-logo.png?1696503349,1.069,1070129773,66,1070129773,25015222,6.15636,66175264,6.59146,1000000000,1000000000,1000000000,15.72,-93.20376,2021-04-16T13:15:11.190Z,0.04039979,2544.44446,2020-03-13T02:24:16.483Z,,2024-01-09T03:56:13.964Z,6.12476317704664,usd,612.476317704664
axie-infinity,axs,Axie Infinity,https://assets.coingecko.com/coins/images/13029/large/axie_infinity_logo.png?1696512817,7.82,1058264407,67,2111337060,69835122,12.00846,111399391,11.76508,135331963.49055,270000000,270000000,164.9,-95.25803,2021-11-06T19:29:29.482Z,0.123718,6220.33654,2020-11-06T08:05:43.662Z,,2024-01-09T03:55:55.242Z,,,
the-sandbox,sand,The Sandbox,https://assets.coingecko.com/coins/images/12129/large/sandbox_logo.jpg?1696511971,0.493072,1045922429,68,1480964745,106342674,9.85639,95463804,10.04397,2118731926.2233226,3000000000,3000000000,8.4,-94.13095,2021-11-25T06:04:40.957Z,0.02897764,1600.66274,2020-11-04T15:59:14.441Z,,2024-01-09T03:56:08.444Z,,,
bittorrent,btt,BitTorrent,https://assets.coingecko.com/coins/images/22457/large/btt_logo.png?1696521780,0.00000107,1040109538,69,1063477656,39174396,8.37844,77324725,8.03136,968246428571000,990000000000000,990000000000000,0.00000343,-68.68417,2022-01-21T04:00:31.909Z,0.000000365368,194.1016,2023-10-13T05:10:41.241Z,,2024-01-09T03:56:01.859Z,,,
tokenize-xchange,tkx,Tokenize Xchange,https://assets.coingecko.com/coins/images/4984/large/TKX_-_Logo_-_RGB-15.png?1696505519,12.44,995268226,70,1244147491,19061145,1.1907,10637222,1.08033,79995999.94518414,100000000,100000000,22.3,-44.28539,2022-10-31T10:23:59.455Z,0.111255,11065.60584,2019-04-28T00:00:00.000Z,,2024-01-09T03:55:53.388Z,41.8068175084547,usd,4180.68175084547
beam-2,beam,Beam,https://assets.coingecko.com/coins/images/32417/large/chain-logo.png?1698114384,0.01975235,977962589,71,1235832335,33879714,19.8963,162222240,19.8865,49549749381.4412,62615056183.5095,62615056183.5095,0.02720031,-27.3304,2023-12-14T05:24:58.029Z,0.0043383,355.62438,2023-10-29T08:20:14.064Z,,2024-01-09T03:55:49.798Z,,,
kucoin-shares,kcs,KuCoin,https://assets.coingecko.com/coins/images/1047/large/sa9z79.png?1696502152,9.92,958726854,72,1429950297,241403,1.16069,10359879,1.09239,96641044.2890287,144141044.288945,,28.83,-65.2944,2021-12-01T15:09:35.541Z,0.342863,2818.24574,2019-02-07T00:00:00.000Z,,2024-01-09T03:55:34.168Z,,,
sui,sui,Sui,https://assets.coingecko.com/coins/images/26375/large/sui_asset.jpeg?1696525453,0.84585,932383506,73,8468921072,193175282,13.54794,108146450,13.12079,1100947214.55346,10000000000,10000000000,2.16,-60.90754,2023-05-03T12:00:26.430Z,0.364846,131.70871,2023-10-19T10:40:30.078Z,,2024-01-09T03:56:14.005Z,,,
